Date,Open,High,Low,Close,Adj Close,Volume
2020-05-19,5.200000,5.200000,4.950000,5.000000,5.000000,13939207
2020-05-20,5.100000,5.100000,4.950000,5.000000,5.000000,15382540
2020-05-21,5.050000,5.050000,4.900000,4.950000,4.950000,13166502
2020-05-22,4.950000,5.000000,4.900000,4.950000,4.950000,9804543
2020-05-26,5.000000,5.000000,4.900000,4.900000,4.900000,6400730
2020-05-27,4.950000,4.950000,4.850000,4.900000,4.900000,10719170
2020-05-28,4.950000,5.050000,4.900000,4.950000,4.950000,13455614
2020-05-29,4.950000,5.050000,4.850000,4.900000,4.900000,21707322
2020-06-01,4.950000,5.800000,4.900000,5.650000,5.650000,41491473
2020-06-02,5.700000,5.750000,5.500000,5.650000,5.650000,19318991
2020-06-03,5.800000,6.750000,5.750000,6.750000,6.750000,82843616
2020-06-04,7.150000,7.700000,6.850000,7.200000,7.200000,93330135
2020-06-05,7.400000,7.500000,7.200000,7.300000,7.300000,25772861
2020-06-08,7.550000,7.600000,7.200000,7.250000,7.250000,25357861
2020-06-09,7.300000,7.300000,6.550000,6.900000,6.900000,22460575
2020-06-10,7.000000,7.050000,6.800000,6.950000,6.950000,11183051
2020-06-11,7.050000,7.050000,6.800000,6.850000,6.850000,10211980
2020-06-12,6.400000,6.750000,6.350000,6.700000,6.700000,13290183
2020-06-15,6.850000,7.100000,6.700000,6.950000,6.950000,20707829
2020-06-16,7.000000,7.150000,6.700000,6.800000,6.800000,16127726
2020-06-17,6.750000,6.850000,6.600000,6.800000,6.800000,7186482
2020-06-18,6.700000,7.000000,6.700000,6.900000,6.900000,15947964
2020-06-19,6.950000,7.150000,6.900000,7.000000,7.000000,34775822
2020-06-22,7.250000,7.700000,7.200000,7.700000,7.700000,38739656
2020-06-23,8.450000,8.450000,7.950000,8.450000,8.450000,24529038
2020-06-24,9.250000,9.250000,8.600000,9.050000,9.050000,139312706
2020-06-25,8.900000,8.900000,8.600000,8.600000,8.600000,41098958
2020-06-26,8.600000,9.000000,8.550000,8.850000,8.850000,35820321
2020-06-29,8.500000,8.550000,8.450000,8.450000,8.450000,6754319
